x,y,height,momentum_x
0.005,0.005,7.49804,19.9034
0.015,0.005,7.49229,19.9374
0.025,0.005,7.48658,19.9711
0.035,0.005,7.4809,20.0046
0.045,0.005,7.47526,20.0378
0.055,0.005,7.46966,20.0707
0.065,0.005,7.4641,20.1033
0.075,0.005,7.45858,20.1357
0.085,0.005,7.45311,20.1677
0.095,0.005,7.44767,20.1994
0.105,0.005,7.44229,20.2308
0.115,0.005,7.43695,20.2618
0.125,0.005,7.43167,20.2926
0.135,0.005,7.42643,20.3229
0.145,0.005,7.42125,20.3529
0.155,0.005,7.41613,20.3826
0.165,0.005,7.41106,20.4119
0.175,0.005,7.40605,20.4407
0.185,0.005,7.40111,20.4692
0.195,0.005,7.39622,20.4973
0.205,0.005,7.39141,20.5249
0.215,0.005,7.38666,20.5522
0.225,0.005,7.38198,20.5789
0.235,0.005,7.37738,20.6053
0.245,0.005,7.37285,20.6311
0.255,0.005,7.3684,20.6565
0.265,0.005,7.36403,20.6814
0.275,0.005,7.35974,20.7058
0.285,0.005,7.35554,20.7296
0.295,0.005,7.35143,20.753
0.305,0.005,7.3474,20.7758
0.315,0.005,7.34347,20.798
0.325,0.005,7.33963,20.8197
0.335,0.005,7.33589,20.8409
0.345,0.005,7.33225,20.8614
0.355,0.005,7.32871,20.8813
0.365,0.005,7.32527,20.9007
0.375,0.005,7.32194,20.9194
0.385,0.005,7.31871,20.9375
0.395,0.005,7.3156,20.955
0.405,0.005,7.31259,20.9719
0.415,0.005,7.30969,20.9881
0.425,0.005,7.3069,21.0037
0.435,0.005,7.30423,21.0186
0.445,0.005,7.30167,21.0329
0.455,0.005,7.29923,21.0466
0.465,0.005,7.29689,21.0596
0.475,0.005,7.29467,21.072
0.485,0.005,7.29257,21.0837
0.495,0.005,7.29057,21.0948
0.505,0.005,7.28868,21.1053
0.515,0.005,7.28691,21.1152
0.525,0.005,7.28524,21.1245
0.535,0.005,7.28367,21.1332
0.545,0.005,7.28221,21.1413
0.555,0.005,7.28084,21.1489
0.565,0.005,7.27958,21.1559
0.575,0.005,7.2784,21.1624
0.585,0.005,7.27732,21.1685
0.595,0.005,7.27632,21.174
0.605,0.005,7.2754,21.1791
0.615,0.005,7.27457,21.1837
0.625,0.005,7.27381,21.1879
0.635,0.005,7.27311,21.1918
0.645,0.005,7.27249,21.1952
0.655,0.005,7.27193,21.1983
0.665,0.005,7.27142,21.2011
0.675,0.005,7.27097,21.2036
0.685,0.005,7.27058,21.2059
0.695,0.005,7.27022,21.2078
0.705,0.005,7.26991,21.2095
0.715,0.005,7.26964,21.211
0.725,0.005,7.2694,21.2124
0.735,0.005,7.2692,21.2135
0.745,0.005,7.26902,21.2145
0.755,0.005,7.26887,21.2153
0.765,0.005,7.26875,21.216
0.775,0.005,7.26864,21.2166
0.785,0.005,7.26855,21.2171
0.795,0.005,7.26848,21.2175
0.805,0.005,7.26842,21.2179
0.815,0.005,7.26837,21.2181
0.825,0.005,7.26834,21.2183
0.835,0.005,7.26831,21.2185
0.845,0.005,7.26829,21.2186
0.855,0.005,7.26828,21.2187
0.865,0.005,7.26827,21.2187
0.875,0.005,7.26827,21.2188
0.885,0.005,7.26827,21.2188
0.895,0.005,7.26827,21.2188
0.905,0.005,7.26828,21.2187
0.915,0.005,7.26828,21.2187
0.925,0.005,7.26829,21.2187
0.935,0.005,7.2683,21.2186
0.945,0.005,7.26831,21.2186
0.955,0.005,7.26832,21.2185
0.965,0.005,7.26833,21.2185
0.975,0.005,7.26834,21.2185
0.985,0.005,7.26835,21.2184
0.995,0.005,7.26836,21.2184
1.005,0.005,7.26837,21.2183
1.015,0.005,7.26838,21.2183
1.025,0.005,7.26839,21.2182
1.035,0.005,7.2684,21.2182
1.045,0.005,7.26841,21.2182
1.055,0.005,7.26842,21.2181
1.065,0.005,7.26843,21.2181
1.075,0.005,7.26844,21.218
1.085,0.005,7.26845,21.218
1.095,0.005,7.26845,21.2179
1.105,0.005,7.26846,21.2179
1.115,0.005,7.26847,21.2179
1.125,0.005,7.26847,21.2179
1.135,0.005,7.26848,21.2179
1.145,0.005,7.26848,21.2178
1.155,0.005,7.26849,21.2178
1.165,0.005,7.26849,21.2178
1.175,0.005,7.2685,21.2178
