x,y,height,momentum_x
0.005,0.005,9.92893,0.699867
0.015,0.005,9.92334,0.754588
0.025,0.005,9.9175,0.811681
0.035,0.005,9.91142,0.871119
0.045,0.005,9.9051,0.932846
0.055,0.005,9.89854,0.996823
0.065,0.005,9.89175,1.063
0.075,0.005,9.88474,1.13132
0.085,0.005,9.8775,1.20173
0.095,0.005,9.87004,1.27417
0.105,0.005,9.86237,1.34858
0.115,0.005,9.85449,1.42489
0.125,0.005,9.84642,1.50303
0.135,0.005,9.83815,1.58293
0.145,0.005,9.8297,1.66454
0.155,0.005,9.82106,1.74778
0.165,0.005,9.81226,1.83258
0.175,0.005,9.80328,1.91888
0.185,0.005,9.79414,2.0066
0.195,0.005,9.78485,2.09568
0.205,0.005,9.77541,2.18606
0.215,0.005,9.76582,2.27766
0.225,0.005,9.7561,2.37043
0.235,0.005,9.74625,2.46431
0.245,0.005,9.73627,2.55925
0.255,0.005,9.72617,2.65517
0.265,0.005,9.71596,2.75204
0.275,0.005,9.70564,2.84978
0.285,0.005,9.69521,2.94834
0.295,0.005,9.68468,3.0477
0.305,0.005,9.67406,3.14778
0.315,0.005,9.66334,3.24856
0.325,0.005,9.65254,3.34998
0.335,0.005,9.64166,3.45199
0.345,0.005,9.63069,3.55456
0.355,0.005,9.61965,3.65765
0.365,0.005,9.60854,3.76121
0.375,0.005,9.59736,3.86523
0.385,0.005,9.58612,3.96965
0.395,0.005,9.57481,4.07446
0.405,0.005,9.56345,4.17962
0.415,0.005,9.55203,4.2851
0.425,0.005,9.54056,4.39086
0.435,0.005,9.52904,4.49688
0.445,0.005,9.51747,4.60314
0.455,0.005,9.50585,4.70962
0.465,0.005,9.49419,4.81629
0.475,0.005,9.48249,4.92313
0.485,0.005,9.47075,5.03012
0.495,0.005,9.45898,5.13723
0.505,0.005,9.44716,5.24444
0.515,0.005,9.43532,5.35174
0.525,0.005,9.42344,5.45911
0.535,0.005,9.41154,5.56653
0.545,0.005,9.3996,5.67399
0.555,0.005,9.38764,5.78147
0.565,0.005,9.37566,5.88896
0.575,0.005,9.36365,5.99644
0.585,0.005,9.35161,6.1039
0.595,0.005,9.33956,6.21134
0.605,0.005,9.32748,6.31872
0.615,0.005,9.31539,6.42606
0.625,0.005,9.30328,6.53332
0.635,0.005,9.29115,6.64052
0.645,0.005,9.279,6.74764
0.655,0.005,9.26684,6.85465
0.665,0.005,9.25467,6.96155
0.675,0.005,9.24248,7.06835
0.685,0.005,9.23028,7.17502
0.695,0.005,9.21807,7.28157
0.705,0.005,9.20585,7.38797
0.715,0.005,9.19362,7.49422
0.725,0.005,9.18138,7.60033
0.735,0.005,9.16913,7.70629
0.745,0.005,9.15687,7.81208
0.755,0.005,9.1446,7.91769
0.765,0.005,9.13233,8.02313
0.775,0.005,9.12005,8.12839
0.785,0.005,9.10777,8.23346
0.795,0.005,9.09548,8.33834
0.805,0.005,9.08318,8.44302
0.815,0.005,9.07089,8.54751
0.825,0.005,9.05858,8.6518
0.835,0.005,9.04628,8.75587
0.845,0.005,9.03397,8.85973
0.855,0.005,9.02166,8.96338
0.865,0.005,9.00935,9.0668
0.875,0.005,8.99704,9.17
0.885,0.005,8.98472,9.27297
0.895,0.005,8.97241,9.3757
0.905,0.005,8.96009,9.4782
0.915,0.005,8.94778,9.58047
0.925,0.005,8.93546,9.68249
0.935,0.005,8.92315,9.78427
0.945,0.005,8.91083,9.88581
0.955,0.005,8.89852,9.9871
0.965,0.005,8.88621,10.0881
0.975,0.005,8.8739,10.1889
0.985,0.005,8.86159,10.2894
0.995,0.005,8.84929,10.3897
1.005,0.005,8.83698,10.4897
1.015,0.005,8.82469,10.5894
1.025,0.005,8.81239,10.6889
1.035,0.005,8.8001,10.7881
1.045,0.005,8.78781,10.8871
1.055,0.005,8.77552,10.9858
1.065,0.005,8.76324,11.0842
1.075,0.005,8.75096,11.1823
1.085,0.005,8.73869,11.2802
1.095,0.005,8.72642,11.3777
1.105,0.005,8.71416,11.475
1.115,0.005,8.7019,11.5721
1.125,0.005,8.68965,11.6688
1.135,0.005,8.6774,11.7652
1.145,0.005,8.66516,11.8614
