x,y,height,momentum_x
0.005,0.005,7.63951,19.0492
0.015,0.005,7.63294,19.0897
0.025,0.005,7.62638,19.1299
0.035,0.005,7.61985,19.17
0.045,0.005,7.61334,19.2099
0.055,0.005,7.60684,19.2496
0.065,0.005,7.60037,19.2891
0.075,0.005,7.59391,19.3284
0.085,0.005,7.58748,19.3675
0.095,0.005,7.58107,19.4064
0.105,0.005,7.57469,19.4451
0.115,0.005,7.56833,19.4835
0.125,0.005,7.56199,19.5218
0.135,0.005,7.55568,19.5598
0.145,0.005,7.5494,19.5976
0.155,0.005,7.54314,19.6351
0.165,0.005,7.53691,19.6725
0.175,0.005,7.53072,19.7095
0.185,0.005,7.52455,19.7464
0.195,0.005,7.51841,19.7829
0.205,0.005,7.51231,19.8192
0.215,0.005,7.50624,19.8553
0.225,0.005,7.50021,19.8911
0.235,0.005,7.49421,19.9266
0.245,0.005,7.48826,19.9618
0.255,0.005,7.48234,19.9967
0.265,0.005,7.47646,20.0313
0.275,0.005,7.47063,20.0656
0.285,0.005,7.46484,20.0996
0.295,0.005,7.45909,20.1332
0.305,0.005,7.45339,20.1666
0.315,0.005,7.44774,20.1996
0.325,0.005,7.44215,20.2322
0.335,0.005,7.4366,20.2644
0.345,0.005,7.43111,20.2963
0.355,0.005,7.42568,20.3279
0.365,0.005,7.42031,20.359
0.375,0.005,7.415,20.3897
0.385,0.005,7.40975,20.42
0.395,0.005,7.40457,20.4499
0.405,0.005,7.39946,20.4793
0.415,0.005,7.39441,20.5083
0.425,0.005,7.38944,20.5368
0.435,0.005,7.38455,20.5648
0.445,0.005,7.37973,20.5924
0.455,0.005,7.375,20.6195
0.465,0.005,7.37035,20.646
0.475,0.005,7.36578,20.672
0.485,0.005,7.3613,20.6975
0.495,0.005,7.35692,20.7224
0.505,0.005,7.35263,20.7468
0.515,0.005,7.34843,20.7705
0.525,0.005,7.34434,20.7937
0.535,0.005,7.34034,20.8163
0.545,0.005,7.33646,20.8383
0.555,0.005,7.33267,20.8596
0.565,0.005,7.329,20.8803
0.575,0.005,7.32544,20.9003
0.585,0.005,7.32199,20.9197
0.595,0.005,7.31865,20.9385
0.605,0.005,7.31544,20.9565
0.615,0.005,7.31234,20.9739
0.625,0.005,7.30935,20.9906
0.635,0.005,7.30649,21.0066
0.645,0.005,7.30375,21.0219
0.655,0.005,7.30114,21.0365
0.665,0.005,7.29864,21.0505
0.675,0.005,7.29626,21.0637
0.685,0.005,7.29401,21.0763
0.695,0.005,7.29187,21.0882
0.705,0.005,7.28985,21.0994
0.715,0.005,7.28795,21.11
0.725,0.005,7.28617,21.1199
0.735,0.005,7.28449,21.1292
0.745,0.005,7.28293,21.1379
0.755,0.005,7.28148,21.146
0.765,0.005,7.28013,21.1535
0.775,0.005,7.27888,21.1604
0.785,0.005,7.27772,21.1668
0.795,0.005,7.27666,21.1727
0.805,0.005,7.27569,21.1781
0.815,0.005,7.27481,21.183
0.825,0.005,7.274,21.1875
0.835,0.005,7.27328,21.1915
0.845,0.005,7.27262,21.1952
0.855,0.005,7.27203,21.1984
0.865,0.005,7.2715,21.2013
0.875,0.005,7.27103,21.204
0.885,0.005,7.27062,21.2063
0.895,0.005,7.27025,21.2083
0.905,0.005,7.26993,21.2101
0.915,0.005,7.26965,21.2116
0.925,0.005,7.26941,21.213
0.935,0.005,7.2692,21.2142
0.945,0.005,7.26902,21.2152
0.955,0.005,7.26887,21.216
0.965,0.005,7.26874,21.2167
0.975,0.005,7.26864,21.2173
0.985,0.005,7.26855,21.2178
0.995,0.005,7.26848,21.2182
1.005,0.005,7.26842,21.2185
1.015,0.005,7.26838,21.2188
1.025,0.005,7.26834,21.219
1.035,0.005,7.26832,21.2191
1.045,0.005,7.2683,21.2192
1.055,0.005,7.26829,21.2193
1.065,0.005,7.26829,21.2193
1.075,0.005,7.26829,21.2193
1.085,0.005,7.26829,21.2193
1.095,0.005,7.26829,21.2193
1.105,0.005,7.2683,21.2193
1.115,0.005,7.26831,21.2193
1.125,0.005,7.26832,21.2192
1.135,0.005,7.26833,21.2192
1.145,0.005,7.26834,21.2191
1.155,0.005,7.26835,21.2191
1.165,0.005,7.26836,21.219
1.175,0.005,7.26837,21.219
1.185,0.005,7.26838,21.2189
1.195,0.005,7.26839,21.2189
1.205,0.005,7.2684,21.2189
1.215,0.005,7.26841,21.2188
1.225,0.005,7.26843,21.2188
1.235,0.005,7.26844,21.2187
1.245,0.005,7.26845,21.2187
1.255,0.005,7.26846,21.2186
1.265,0.005,7.26847,21.2186
1.275,0.005,7.26848,21.2185
1.285,0.005,7.26849,21.2185
1.295,0.005,7.2685,21.2184
1.305,0.005,7.26851,21.2184
1.315,0.005,7.26852,21.2183
1.325,0.005,7.26853,21.2183
1.335,0.005,7.26853,21.2183
1.345,0.005,7.26854,21.2183
1.355,0.005,7.26854,21.2182
1.365,0.005,7.26855,21.2182
1.375,0.005,7.26855,21.2182
1.385,0.005,7.26856,21.2182
1.395,0.005,7.26856,21.2182
1.405,0.005,7.26857,21.2182
1.415,0.005,7.26857,21.2182
1.425,0.005,7.26858,21.2181
1.435,0.005,7.26858,21.2181
1.445,0.005,7.26859,21.2181
1.455,0.005,7.26859,21.2181
1.465,0.005,7.2686,21.2181
1.475,0.005,7.2686,21.2181
1.485,0.005,7.26861,21.218
1.495,0.005,7.26861,21.218
1.505,0.005,7.26861,21.218
1.515,0.005,7.26862,21.218
1.525,0.005,7.26862,21.218
1.535,0.005,7.26863,21.218
1.545,0.005,7.26863,21.218
1.555,0.005,7.26864,21.2179
1.565,0.005,7.26864,21.2179
1.575,0.005,7.26865,21.2179
1.585,0.005,7.26865,21.2179
1.595,0.005,7.26866,21.2179
1.605,0.005,7.26866,21.2179
1.615,0.005,7.26867,21.2178
1.625,0.005,7.26867,21.2178
1.635,0.005,7.26868,21.2178
1.645,0.005,7.26868,21.2178
1.655,0.005,7.26869,21.2178
1.665,0.005,7.26869,21.2178
1.675,0.005,7.2687,21.2178
1.685,0.005,7.2687,21.2177
1.695,0.005,7.2687,21.2177
1.705,0.005,7.26871,21.2177
1.715,0.005,7.26871,21.2177
1.725,0.005,7.26871,21.2177
1.735,0.005,7.26871,21.2177
1.745,0.005,7.26871,21.2177
1.755,0.005,7.26871,21.2177
1.765,0.005,7.26871,21.2178
1.775,0.005,7.26872,21.2178
1.785,0.005,7.26872,21.2178
1.795,0.005,7.26872,21.2178
1.805,0.005,7.26872,21.2178
1.815,0.005,7.26872,21.2178
1.825,0.005,7.26872,21.2178
1.835,0.005,7.26872,21.2178
1.845,0.005,7.26873,21.2178
1.855,0.005,7.26873,21.2178
1.865,0.005,7.26873,21.2178
1.875,0.005,7.26873,21.2178
1.885,0.005,7.26873,21.2178
1.895,0.005,7.26873,21.2178
