x,y,height,momentum_x
1.825,0.005,10,4.65986e-11
1.835,0.005,10,1.42908e-09
1.845,0.005,10,3.11156e-08
1.855,0.005,10,1.08299e-06
1.865,0.005,10,1.00289e-05
1.875,0.005,10,2.14274e-05
1.885,0.005,10,3.48325e-05
1.895,0.005,9.99999,5.10849e-05
1.905,0.005,9.99999,6.07385e-05
1.915,0.005,9.99999,7.38318e-05
1.925,0.005,9.99999,9.01859e-05
1.935,0.005,9.99999,0.000100177
1.945,0.005,9.99999,0.000113271
1.955,0.005,9.99998,0.000129521
1.965,0.005,9.99998,0.00013949
1.975,0.005,9.99998,0.000152609
1.985,0.005,9.99998,0.000168872
1.995,0.005,9.99998,0.000178838
2.005,0.005,9.99998,0.000191957
2.015,0.005,9.99998,0.000208298
2.025,0.005,9.99997,0.000219034
2.035,0.005,9.99997,0.000240404
2.045,0.005,9.99997,0.000285856
2.055,0.005,9.99996,0.000350735
2.065,0.005,9.99995,0.000450353
2.075,0.005,9.99994,0.00060332
2.085,0.005,9.99991,0.00081501
2.095,0.005,9.99988,0.00110745
2.105,0.005,9.99984,0.00150709
2.115,0.005,9.99979,0.00205265
2.125,0.005,9.99971,0.00279277
2.135,0.005,9.99961,0.00377832
2.145,0.005,9.99948,0.00508134
2.155,0.005,9.99931,0.00679397
2.165,0.005,9.99909,0.00901666
2.175,0.005,9.9988,0.0118605
2.185,0.005,9.99843,0.0154708
2.195,0.005,9.99797,0.020025
2.205,0.005,9.9974,0.0257308
2.215,0.005,9.99668,0.0328055
2.225,0.005,9.9958,0.0414918
2.235,0.005,9.99474,0.052073
2.245,0.005,9.99344,0.0648575
2.255,0.005,9.9919,0.0801738
2.265,0.005,9.99006,0.0983584
2.275,0.005,9.98789,0.119778
2.285,0.005,9.98536,0.144806
2.295,0.005,9.98242,0.173806
2.305,0.005,9.97904,0.207152
2.315,0.005,9.97519,0.245209
2.325,0.005,9.97082,0.288316
2.335,0.005,9.9659,0.336787
2.345,0.005,9.9604,0.390904
2.355,0.005,9.9543,0.450904
2.365,0.005,9.94758,0.516994
2.375,0.005,9.94021,0.589339
2.385,0.005,9.93218,0.668048
2.395,0.005,9.92349,0.753191
2.405,0.005,9.91412,0.84479
2.415,0.005,9.90408,0.942818
2.425,0.005,9.89338,1.04721
2.435,0.005,9.88201,1.15787
2.445,0.005,9.86999,1.27464
2.455,0.005,9.85734,1.39736
2.465,0.005,9.84406,1.52583
2.475,0.005,9.83018,1.65982
2.485,0.005,9.81573,1.7991
2.495,0.005,9.80072,1.94341
2.505,0.005,9.78517,2.0925
2.515,0.005,9.76912,2.2461
2.525,0.005,9.75258,2.40394
2.535,0.005,9.73557,2.56576
2.545,0.005,9.71813,2.7313
2.555,0.005,9.70028,2.90029
2.565,0.005,9.68203,3.07249
2.575,0.005,9.66341,3.24765
2.585,0.005,9.64445,3.42552
2.595,0.005,9.62516,3.60588
2.605,0.005,9.60557,3.78851
2.615,0.005,9.5857,3.97322
2.625,0.005,9.56555,4.15979
2.635,0.005,9.54516,4.34803
2.645,0.005,9.52453,4.53777
2.655,0.005,9.50369,4.72886
2.665,0.005,9.48265,4.92112
2.675,0.005,9.46141,5.11442
2.685,0.005,9.44001,5.30862
2.695,0.005,9.41844,5.50358
2.705,0.005,9.39672,5.69917
2.715,0.005,9.37486,5.8953
2.725,0.005,9.35287,6.09184
2.735,0.005,9.33076,6.28871
2.745,0.005,9.30854,6.48579
2.755,0.005,9.28622,6.68301
2.765,0.005,9.2638,6.88028
2.775,0.005,9.2413,7.07753
2.785,0.005,9.21872,7.27468
2.795,0.005,9.19607,7.47167
2.805,0.005,9.17336,7.66843
2.815,0.005,9.15058,7.8649
2.825,0.005,9.12775,8.06104
2.835,0.005,9.10487,8.25679
2.845,0.005,9.08195,8.45209
2.855,0.005,9.05898,8.64692
2.865,0.005,9.03598,8.84122
2.875,0.005,9.01295,9.03496
2.885,0.005,8.98989,9.22808
2.895,0.005,8.96681,9.42057
2.905,0.005,8.94371,9.61239
2.915,0.005,8.92059,9.80351
2.925,0.005,8.89746,9.9939
2.935,0.005,8.87432,10.1835
2.945,0.005,8.85117,10.3724
2.955,0.005,8.82802,10.5604
2.965,0.005,8.80486,10.7476
2.975,0.005,8.7817,10.934
2.985,0.005,8.75855,11.1195
2.995,0.005,8.73541,11.3041
3.005,0.005,8.71227,11.4878
3.015,0.005,8.68914,11.6705
3.025,0.005,8.66602,11.8523
3.035,0.005,8.64291,12.0332
3.045,0.005,8.61983,12.213
3.055,0.005,8.59676,12.3919
3.065,0.005,8.57371,12.5698
3.075,0.005,8.55068,12.7466
3.085,0.005,8.52768,12.9224
3.095,0.005,8.5047,13.0972
3.105,0.005,8.48176,13.2709
3.115,0.005,8.45884,13.4435
3.125,0.005,8.43595,13.6151
3.135,0.005,8.41309,13.7855
3.145,0.005,8.39028,13.9548
3.155,0.005,8.36749,14.123
