x,y,height,momentum_x
0.005,0.005,7.80402,18.0132
0.015,0.005,7.79681,18.0596
0.025,0.005,7.78962,18.1058
0.035,0.005,7.78244,18.1519
0.045,0.005,7.77526,18.1978
0.055,0.005,7.7681,18.2435
0.065,0.005,7.76095,18.289
0.075,0.005,7.75382,18.3344
0.085,0.005,7.74669,18.3797
0.095,0.005,7.73958,18.4248
0.105,0.005,7.73248,18.4697
0.115,0.005,7.72539,18.5144
0.125,0.005,7.71832,18.559
0.135,0.005,7.71127,18.6033
0.145,0.005,7.70422,18.6476
0.155,0.005,7.6972,18.6916
0.165,0.005,7.69018,18.7354
0.175,0.005,7.68319,18.7791
0.185,0.005,7.67621,18.8226
0.195,0.005,7.66925,18.8659
0.205,0.005,7.6623,18.909
0.215,0.005,7.65537,18.9519
0.225,0.005,7.64846,18.9947
0.235,0.005,7.64157,19.0372
0.245,0.005,7.6347,19.0795
0.255,0.005,7.62785,19.1216
0.265,0.005,7.62102,19.1635
0.275,0.005,7.61421,19.2052
0.285,0.005,7.60742,19.2467
0.295,0.005,7.60066,19.288
0.305,0.005,7.59392,19.3291
0.315,0.005,7.5872,19.3699
0.325,0.005,7.58051,19.4105
0.335,0.005,7.57385,19.4509
0.345,0.005,7.56721,19.491
0.355,0.005,7.5606,19.5309
0.365,0.005,7.55402,19.5705
0.375,0.005,7.54747,19.6099
0.385,0.005,7.54095,19.649
0.395,0.005,7.53446,19.6878
0.405,0.005,7.52801,19.7264
0.415,0.005,7.52159,19.7647
0.425,0.005,7.51521,19.8027
0.435,0.005,7.50886,19.8405
0.445,0.005,7.50255,19.8779
0.455,0.005,7.49629,19.915
0.465,0.005,7.49006,19.9518
0.475,0.005,7.48388,19.9883
0.485,0.005,7.47774,20.0244
0.495,0.005,7.47165,20.0603
0.505,0.005,7.46561,20.0957
0.515,0.005,7.45962,20.1308
0.525,0.005,7.45368,20.1656
0.535,0.005,7.4478,20.1999
0.545,0.005,7.44197,20.2339
0.555,0.005,7.4362,20.2675
0.565,0.005,7.43049,20.3007
0.575,0.005,7.42485,20.3334
0.585,0.005,7.41927,20.3657
0.595,0.005,7.41376,20.3976
0.605,0.005,7.40832,20.429
0.615,0.005,7.40295,20.4599
0.625,0.005,7.39766,20.4904
0.635,0.005,7.39244,20.5203
0.645,0.005,7.38731,20.5497
0.655,0.005,7.38226,20.5787
0.665,0.005,7.3773,20.607
0.675,0.005,7.37243,20.6348
0.685,0.005,7.36765,20.6621
0.695,0.005,7.36297,20.6888
0.705,0.005,7.35838,20.7148
0.715,0.005,7.3539,20.7403
0.725,0.005,7.34952,20.7651
0.735,0.005,7.34525,20.7893
0.745,0.005,7.34108,20.8128
0.755,0.005,7.33703,20.8357
0.765,0.005,7.3331,20.8579
0.775,0.005,7.32928,20.8794
0.785,0.005,7.32559,20.9002
0.795,0.005,7.32201,20.9203
0.805,0.005,7.31856,20.9397
0.815,0.005,7.31524,20.9584
0.825,0.005,7.31204,20.9763
0.835,0.005,7.30897,20.9935
0.845,0.005,7.30603,21.0099
0.855,0.005,7.30322,21.0256
0.865,0.005,7.30054,21.0406
0.875,0.005,7.29799,21.0548
0.885,0.005,7.29557,21.0683
0.895,0.005,7.29328,21.0811
0.905,0.005,7.29112,21.0931
0.915,0.005,7.28908,21.1045
0.925,0.005,7.28717,21.1151
0.935,0.005,7.28538,21.125
0.945,0.005,7.28371,21.1343
0.955,0.005,7.28216,21.143
0.965,0.005,7.28071,21.151
0.975,0.005,7.27938,21.1584
0.985,0.005,7.27815,21.1652
0.995,0.005,7.27703,21.1714
1.005,0.005,7.276,21.1772
1.015,0.005,7.27506,21.1824
1.025,0.005,7.27421,21.1871
1.035,0.005,7.27344,21.1914
1.045,0.005,7.27275,21.1952
1.055,0.005,7.27213,21.1986
1.065,0.005,7.27157,21.2017
1.075,0.005,7.27109,21.2044
1.085,0.005,7.27065,21.2068
1.095,0.005,7.27027,21.2089
1.105,0.005,7.26994,21.2108
1.115,0.005,7.26965,21.2124
1.125,0.005,7.26941,21.2138
1.135,0.005,7.26919,21.2149
1.145,0.005,7.26901,21.216
1.155,0.005,7.26886,21.2168
1.165,0.005,7.26874,21.2175
1.175,0.005,7.26863,21.2181
1.185,0.005,7.26855,21.2186
1.195,0.005,7.26848,21.219
1.205,0.005,7.26842,21.2193
1.215,0.005,7.26838,21.2195
1.225,0.005,7.26835,21.2197
1.235,0.005,7.26833,21.2198
1.245,0.005,7.26832,21.2199
1.255,0.005,7.26831,21.22
1.265,0.005,7.26831,21.22
1.275,0.005,7.26831,21.22
1.285,0.005,7.26831,21.22
1.295,0.005,7.26832,21.22
1.305,0.005,7.26833,21.2199
1.315,0.005,7.26834,21.2199
1.325,0.005,7.26835,21.2198
1.335,0.005,7.26837,21.2198
1.345,0.005,7.26838,21.2197
1.355,0.005,7.26839,21.2196
1.365,0.005,7.2684,21.2196
1.375,0.005,7.26841,21.2195
1.385,0.005,7.26843,21.2195
