x,y,height,momentum_x
0.005,0.005,8.20294,15.3133
0.015,0.005,8.19457,15.3727
0.025,0.005,8.18621,15.4319
0.035,0.005,8.17785,15.4909
0.045,0.005,8.1695,15.5498
0.055,0.005,8.16116,15.6086
0.065,0.005,8.15282,15.6672
0.075,0.005,8.14449,15.7256
0.085,0.005,8.13617,15.7839
0.095,0.005,8.12785,15.842
0.105,0.005,8.11954,15.9
0.115,0.005,8.11123,15.9577
0.125,0.005,8.10293,16.0154
0.135,0.005,8.09464,16.0728
0.145,0.005,8.08636,16.1301
0.155,0.005,8.07808,16.1873
0.165,0.005,8.06981,16.2443
0.175,0.005,8.06155,16.3011
0.185,0.005,8.05329,16.3577
0.195,0.005,8.04504,16.4142
0.205,0.005,8.0368,16.4706
0.215,0.005,8.02857,16.5267
0.225,0.005,8.02035,16.5827
0.235,0.005,8.01213,16.6385
0.245,0.005,8.00392,16.6942
0.255,0.005,7.99572,16.7497
0.265,0.005,7.98753,16.805
0.275,0.005,7.97935,16.8602
0.285,0.005,7.97117,16.9151
0.295,0.005,7.96301,16.97
0.305,0.005,7.95485,17.0246
0.315,0.005,7.9467,17.0791
0.325,0.005,7.93857,17.1334
0.335,0.005,7.93044,17.1875
0.345,0.005,7.92232,17.2414
0.355,0.005,7.91421,17.2952
0.365,0.005,7.90611,17.3488
0.375,0.005,7.89802,17.4023
0.385,0.005,7.88994,17.4555
0.395,0.005,7.88187,17.5086
0.405,0.005,7.87381,17.5615
0.415,0.005,7.86576,17.6142
0.425,0.005,7.85773,17.6667
0.435,0.005,7.8497,17.719
0.445,0.005,7.84169,17.7712
0.455,0.005,7.83369,17.8232
0.465,0.005,7.8257,17.875
0.475,0.005,7.81773,17.9265
0.485,0.005,7.80977,17.978
0.495,0.005,7.80182,18.0292
0.505,0.005,7.79388,18.0802
0.515,0.005,7.78596,18.131
0.525,0.005,7.77805,18.1816
0.535,0.005,7.77016,18.2321
0.545,0.005,7.76228,18.2823
0.555,0.005,7.75442,18.3323
0.565,0.005,7.74658,18.3821
0.575,0.005,7.73875,18.4318
0.585,0.005,7.73094,18.4812
0.595,0.005,7.72314,18.5303
0.605,0.005,7.71536,18.5793
0.615,0.005,7.7076,18.6281
0.625,0.005,7.69986,18.6766
0.635,0.005,7.69214,18.7249
0.645,0.005,7.68444,18.773
0.655,0.005,7.67676,18.8209
0.665,0.005,7.66911,18.8685
0.675,0.005,7.66147,18.9159
0.685,0.005,7.65386,18.963
0.695,0.005,7.64627,19.0099
0.705,0.005,7.6387,19.0566
0.715,0.005,7.63116,19.103
0.725,0.005,7.62365,19.1492
0.735,0.005,7.61616,19.1951
0.745,0.005,7.6087,19.2407
0.755,0.005,7.60127,19.286
0.765,0.005,7.59387,19.3311
0.775,0.005,7.5865,19.3759
0.785,0.005,7.57916,19.4204
0.795,0.005,7.57186,19.4646
0.805,0.005,7.56459,19.5085
0.815,0.005,7.55735,19.5522
0.825,0.005,7.55016,19.5955
0.835,0.005,7.543,19.6384
0.845,0.005,7.53588,19.6811
0.855,0.005,7.5288,19.7234
0.865,0.005,7.52177,19.7653
0.875,0.005,7.51478,19.807
0.885,0.005,7.50784,19.8482
0.895,0.005,7.50095,19.8891
0.905,0.005,7.49411,19.9296
0.915,0.005,7.48732,19.9697
0.925,0.005,7.48059,20.0094
0.935,0.005,7.47391,20.0487
0.945,0.005,7.4673,20.0875
0.955,0.005,7.46074,20.126
0.965,0.005,7.45425,20.1639
0.975,0.005,7.44783,20.2014
0.985,0.005,7.44148,20.2385
0.995,0.005,7.4352,20.275
1.005,0.005,7.42899,20.3111
1.015,0.005,7.42286,20.3466
1.025,0.005,7.41682,20.3816
1.035,0.005,7.41086,20.416
1.045,0.005,7.40498,20.4499
1.055,0.005,7.3992,20.4831
1.065,0.005,7.39352,20.5158
1.075,0.005,7.38793,20.5479
1.085,0.005,7.38244,20.5793
1.095,0.005,7.37706,20.6101
1.105,0.005,7.37178,20.6402
1.115,0.005,7.36662,20.6696
1.125,0.005,7.36157,20.6983
1.135,0.005,7.35665,20.7263
1.145,0.005,7.35184,20.7536
1.155,0.005,7.34717,20.7801
1.165,0.005,7.34262,20.8058
1.175,0.005,7.3382,20.8308
1.185,0.005,7.33392,20.8549
1.195,0.005,7.32978,20.8782
1.205,0.005,7.32578,20.9007
1.215,0.005,7.32193,20.9224
1.225,0.005,7.31822,20.9433
1.235,0.005,7.31466,20.9632
1.245,0.005,7.31125,20.9823
1.255,0.005,7.30799,21.0006
1.265,0.005,7.30488,21.018
1.275,0.005,7.30192,21.0345
1.285,0.005,7.29912,21.0502
1.295,0.005,7.29646,21.065
1.305,0.005,7.29396,21.0789
1.315,0.005,7.2916,21.092
1.325,0.005,7.2894,21.1043
1.335,0.005,7.28733,21.1158
1.345,0.005,7.28541,21.1265
1.355,0.005,7.28363,21.1364
1.365,0.005,7.28197,21.1456
1.375,0.005,7.28045,21.154
1.385,0.005,7.27905,21.1618
1.395,0.005,7.27778,21.1689
1.405,0.005,7.27661,21.1754
1.415,0.005,7.27555,21.1812
1.425,0.005,7.2746,21.1865
1.435,0.005,7.27374,21.1913
1.445,0.005,7.27298,21.1955
1.455,0.005,7.27229,21.1993
1.465,0.005,7.27169,21.2027
