x,y,height,momentum_x
0.005,0.005,9.99645,0.0350519
0.015,0.005,9.99581,0.0413166
0.025,0.005,9.99509,0.0485023
0.035,0.005,9.99426,0.0567099
0.045,0.005,9.99332,0.0660379
0.055,0.005,9.99225,0.0765976
0.065,0.005,9.99104,0.0884956
0.075,0.005,9.9897,0.101841
0.085,0.005,9.98819,0.116755
0.095,0.005,9.98651,0.133335
0.105,0.005,9.98465,0.151688
0.115,0.005,9.9826,0.17194
0.125,0.005,9.98035,0.194189
0.135,0.005,9.97788,0.218524
0.145,0.005,9.9752,0.245036
0.155,0.005,9.97228,0.273819
0.165,0.005,9.96912,0.304953
0.175,0.005,9.96572,0.338504
0.185,0.005,9.96206,0.374533
0.195,0.005,9.95814,0.413085
0.205,0.005,9.95396,0.454194
0.215,0.005,9.94952,0.497897
0.225,0.005,9.9448,0.544215
0.235,0.005,9.93982,0.593154
0.245,0.005,9.93456,0.644715
0.255,0.005,9.92903,0.698888
0.265,0.005,9.92323,0.755658
0.275,0.005,9.91717,0.815003
0.285,0.005,9.91084,0.876876
0.295,0.005,9.90424,0.941235
0.305,0.005,9.8974,1.00804
0.315,0.005,9.89029,1.07723
0.325,0.005,9.88294,1.14875
0.335,0.005,9.87535,1.22254
0.345,0.005,9.86753,1.29853
0.355,0.005,9.85947,1.37665
0.365,0.005,9.8512,1.45682
0.375,0.005,9.8427,1.53898
0.385,0.005,9.834,1.62305
0.395,0.005,9.8251,1.70895
0.405,0.005,9.816,1.7966
0.415,0.005,9.80671,1.88594
0.425,0.005,9.79724,1.97688
0.435,0.005,9.7876,2.06934
0.445,0.005,9.77779,2.16327
0.455,0.005,9.76783,2.25858
0.465,0.005,9.7577,2.3552
0.475,0.005,9.74744,2.45306
0.485,0.005,9.73703,2.55209
0.495,0.005,9.72649,2.65224
0.505,0.005,9.71581,2.75344
0.515,0.005,9.70502,2.85562
0.525,0.005,9.69411,2.95873
0.535,0.005,9.68309,3.06271
0.545,0.005,9.67196,3.16751
0.555,0.005,9.66073,3.27308
0.565,0.005,9.64941,3.37935
0.575,0.005,9.63799,3.48628
0.585,0.005,9.62649,3.59384
0.595,0.005,9.6149,3.70197
0.605,0.005,9.60324,3.81063
0.615,0.005,9.59149,3.91977
0.625,0.005,9.57968,4.02937
0.635,0.005,9.5678,4.13938
0.645,0.005,9.55586,4.24977
0.655,0.005,9.54386,4.3605
0.665,0.005,9.53179,4.47155
0.675,0.005,9.51968,4.58287
0.685,0.005,9.50751,4.69445
0.695,0.005,9.49529,4.80625
0.705,0.005,9.48302,4.91827
0.715,0.005,9.47071,5.03046
0.725,0.005,9.45836,5.1428
0.735,0.005,9.44597,5.25527
0.745,0.005,9.43354,5.36784
0.755,0.005,9.42107,5.48048
0.765,0.005,9.40857,5.59321
0.775,0.005,9.39604,5.70599
0.785,0.005,9.38348,5.81879
0.795,0.005,9.37089,5.93161
0.805,0.005,9.35827,6.04442
0.815,0.005,9.34563,6.15722
0.825,0.005,9.33296,6.26998
0.835,0.005,9.32027,6.38271
0.845,0.005,9.30756,6.49537
0.855,0.005,9.29483,6.60797
0.865,0.005,9.28208,6.72048
0.875,0.005,9.26931,6.83289
0.885,0.005,9.25652,6.94521
0.895,0.005,9.24372,7.0574
0.905,0.005,9.23091,7.16947
0.915,0.005,9.21808,7.28139
0.925,0.005,9.20524,7.39317
0.935,0.005,9.19239,7.5048
0.945,0.005,9.17952,7.61626
0.955,0.005,9.16665,7.72757
0.965,0.005,9.15377,7.8387
0.975,0.005,9.14087,7.94965
0.985,0.005,9.12797,8.0604
0.995,0.005,9.11507,8.17096
1.005,0.005,9.10215,8.28131
1.015,0.005,9.08923,8.39145
1.025,0.005,9.07631,8.50138
1.035,0.005,9.06338,8.61109
1.045,0.005,9.05044,8.72058
1.055,0.005,9.0375,8.82983
1.065,0.005,9.02456,8.93885
1.075,0.005,9.01162,9.04764
1.085,0.005,8.99867,9.15617
1.095,0.005,8.98573,9.26446
1.105,0.005,8.97278,9.3725
1.115,0.005,8.95983,9.48028
1.125,0.005,8.94688,9.5878
1.135,0.005,8.93392,9.69506
1.145,0.005,8.92097,9.80205
1.155,0.005,8.90802,9.90878
1.165,0.005,8.89508,10.0152
1.175,0.005,8.88213,10.1214
1.185,0.005,8.86919,10.2273
1.195,0.005,8.85624,10.3329
1.205,0.005,8.8433,10.4382
1.215,0.005,8.83037,10.5433
1.225,0.005,8.81743,10.648
1.235,0.005,8.8045,10.7525
1.245,0.005,8.79157,10.8567
1.255,0.005,8.77864,10.9605
1.265,0.005,8.76573,11.0641
1.275,0.005,8.75281,11.1674
1.285,0.005,8.7399,11.2703
1.295,0.005,8.72699,11.373
1.305,0.005,8.71409,11.4754
1.315,0.005,8.7012,11.5774
1.325,0.005,8.68831,11.6791
1.335,0.005,8.67543,11.7806
