x,y,height,momentum_x
0.005,0.005,9.49227,4.83311
0.015,0.005,9.48155,4.93093
0.025,0.005,9.47081,5.02885
0.035,0.005,9.46004,5.12686
0.045,0.005,9.44924,5.22494
0.055,0.005,9.43841,5.32307
0.065,0.005,9.42756,5.42125
0.075,0.005,9.41669,5.51946
0.085,0.005,9.40579,5.6177
0.095,0.005,9.39487,5.71594
0.105,0.005,9.38393,5.81419
0.115,0.005,9.37297,5.91242
0.125,0.005,9.362,6.01062
0.135,0.005,9.35101,6.1088
0.145,0.005,9.34,6.20694
0.155,0.005,9.32897,6.30503
0.165,0.005,9.31793,6.40306
0.175,0.005,9.30688,6.50102
0.185,0.005,9.29581,6.59891
0.195,0.005,9.28473,6.69673
0.205,0.005,9.27364,6.79446
0.215,0.005,9.26254,6.89209
0.225,0.005,9.25143,6.98962
0.235,0.005,9.2403,7.08705
0.245,0.005,9.22917,7.18436
0.255,0.005,9.21804,7.28155
0.265,0.005,9.20689,7.37862
0.275,0.005,9.19573,7.47557
0.285,0.005,9.18457,7.57238
0.295,0.005,9.1734,7.66904
0.305,0.005,9.16223,7.76557
0.315,0.005,9.15105,7.86195
0.325,0.005,9.13987,7.95818
0.335,0.005,9.12868,8.05425
0.345,0.005,9.11748,8.15017
0.355,0.005,9.10629,8.24593
0.365,0.005,9.09509,8.34152
0.375,0.005,9.08388,8.43694
0.385,0.005,9.07268,8.53219
0.395,0.005,9.06147,8.62725
0.405,0.005,9.05026,8.72215
0.415,0.005,9.03905,8.81686
0.425,0.005,9.02783,8.91138
0.435,0.005,9.01662,9.00572
0.445,0.005,9.0054,9.09987
0.455,0.005,8.99418,9.19383
0.465,0.005,8.98297,9.2876
0.475,0.005,8.97175,9.38116
0.485,0.005,8.96054,9.47453
0.495,0.005,8.94932,9.56769
0.505,0.005,8.93811,9.66065
0.515,0.005,8.92689,9.7534
0.525,0.005,8.91568,9.84595
0.535,0.005,8.90447,9.93829
0.545,0.005,8.89326,10.0304
0.555,0.005,8.88205,10.1223
0.565,0.005,8.87084,10.214
0.575,0.005,8.85964,10.3055
0.585,0.005,8.84843,10.3968
0.595,0.005,8.83724,10.4879
0.605,0.005,8.82604,10.5787
0.615,0.005,8.81484,10.6693
0.625,0.005,8.80365,10.7597
0.635,0.005,8.79247,10.8498
0.645,0.005,8.78128,10.9397
0.655,0.005,8.7701,11.0294
0.665,0.005,8.75892,11.1189
0.675,0.005,8.74775,11.2082
0.685,0.005,8.73658,11.2972
0.695,0.005,8.72542,11.386
0.705,0.005,8.71426,11.4745
0.715,0.005,8.7031,11.5629
0.725,0.005,8.69195,11.6509
0.735,0.005,8.6808,11.7388
0.745,0.005,8.66966,11.8264
0.755,0.005,8.65852,11.9138
0.765,0.005,8.64739,12.0009
0.775,0.005,8.63626,12.0878
0.785,0.005,8.62514,12.1745
0.795,0.005,8.61402,12.2609
0.805,0.005,8.60291,12.3471
