x,y,height,momentum_x
0.005,0.005,8.12946,15.8304
0.015,0.005,8.12129,15.8874
0.025,0.005,8.11312,15.9442
0.035,0.005,8.10496,16.0009
0.045,0.005,8.09681,16.0575
0.055,0.005,8.08867,16.1138
0.065,0.005,8.08053,16.1701
0.075,0.005,8.0724,16.2261
0.085,0.005,8.06427,16.282
0.095,0.005,8.05615,16.3378
0.105,0.005,8.04804,16.3934
0.115,0.005,8.03994,16.4488
0.125,0.005,8.03185,16.5041
0.135,0.005,8.02376,16.5592
0.145,0.005,8.01568,16.6141
0.155,0.005,8.0076,16.6689
0.165,0.005,7.99954,16.7235
0.175,0.005,7.99148,16.778
0.185,0.005,7.98343,16.8323
0.195,0.005,7.97539,16.8864
0.205,0.005,7.96736,16.9404
0.215,0.005,7.95934,16.9942
0.225,0.005,7.95132,17.0479
0.235,0.005,7.94332,17.1013
0.245,0.005,7.93532,17.1547
0.255,0.005,7.92733,17.2078
0.265,0.005,7.91935,17.2608
0.275,0.005,7.91138,17.3136
0.285,0.005,7.90342,17.3662
0.295,0.005,7.89547,17.4187
0.305,0.005,7.88753,17.471
0.315,0.005,7.8796,17.5231
0.325,0.005,7.87168,17.5751
0.335,0.005,7.86378,17.6269
0.345,0.005,7.85588,17.6785
0.355,0.005,7.84799,17.7299
0.365,0.005,7.84012,17.7811
0.375,0.005,7.83225,17.8322
0.385,0.005,7.8244,17.8831
0.395,0.005,7.81656,17.9338
0.405,0.005,7.80873,17.9843
0.415,0.005,7.80092,18.0347
0.425,0.005,7.79312,18.0848
0.435,0.005,7.78533,18.1348
0.445,0.005,7.77756,18.1845
0.455,0.005,7.76979,18.2341
0.465,0.005,7.76205,18.2835
0.475,0.005,7.75432,18.3327
0.485,0.005,7.7466,18.3817
0.495,0.005,7.7389,18.4305
0.505,0.005,7.73122,18.4791
0.515,0.005,7.72355,18.5275
0.525,0.005,7.7159,18.5756
0.535,0.005,7.70827,18.6236
0.545,0.005,7.70065,18.6714
0.555,0.005,7.69306,18.7189
0.565,0.005,7.68548,18.7662
0.575,0.005,7.67793,18.8133
0.585,0.005,7.67039,18.8602
0.595,0.005,7.66287,18.9069
0.605,0.005,7.65538,18.9533
0.615,0.005,7.64791,18.9995
0.625,0.005,7.64046,19.0454
0.635,0.005,7.63304,19.0912
0.645,0.005,7.62564,19.1366
0.655,0.005,7.61826,19.1818
0.665,0.005,7.61092,19.2268
0.675,0.005,7.6036,19.2715
0.685,0.005,7.59631,19.3159
0.695,0.005,7.58904,19.3601
0.705,0.005,7.58181,19.404
0.715,0.005,7.57461,19.4476
0.725,0.005,7.56744,19.491
0.735,0.005,7.56031,19.534
0.745,0.005,7.55321,19.5767
0.755,0.005,7.54615,19.6192
0.765,0.005,7.53913,19.6613
0.775,0.005,7.53214,19.7031
0.785,0.005,7.5252,19.7446
0.795,0.005,7.5183,19.7857
0.805,0.005,7.51144,19.8265
0.815,0.005,7.50463,19.8669
0.825,0.005,7.49787,19.907
0.835,0.005,7.49116,19.9467
0.845,0.005,7.4845,19.986
0.855,0.005,7.47789,20.025
0.865,0.005,7.47134,20.0635
0.875,0.005,7.46485,20.1016
0.885,0.005,7.45841,20.1393
0.895,0.005,7.45205,20.1765
0.905,0.005,7.44574,20.2133
0.915,0.005,7.43951,20.2497
0.925,0.005,7.43334,20.2855
0.935,0.005,7.42725,20.3209
0.945,0.005,7.42123,20.3557
0.955,0.005,7.4153,20.3901
0.965,0.005,7.40945,20.4239
0.975,0.005,7.40368,20.4571
0.985,0.005,7.398,20.4898
0.995,0.005,7.39241,20.5219
1.005,0.005,7.38692,20.5534
1.015,0.005,7.38153,20.5842
1.025,0.005,7.37624,20.6145
1.035,0.005,7.37106,20.6441
1.045,0.005,7.36598,20.673
1.055,0.005,7.36102,20.7012
1.065,0.005,7.35617,20.7288
1.075,0.005,7.35144,20.7556
1.085,0.005,7.34684,20.7817
1.095,0.005,7.34236,20.807
1.105,0.005,7.33801,20.8316
1.115,0.005,7.33379,20.8554
1.125,0.005,7.32971,20.8784
1.135,0.005,7.32576,20.9006
1.145,0.005,7.32196,20.922
1.155,0.005,7.31829,20.9426
1.165,0.005,7.31477,20.9623
1.175,0.005,7.3114,20.9812
1.185,0.005,7.30817,20.9993
1.195,0.005,7.30509,21.0165
1.205,0.005,7.30216,21.0329
1.215,0.005,7.29938,21.0484
1.225,0.005,7.29674,21.0631
1.235,0.005,7.29425,21.077
1.245,0.005,7.29191,21.0901
1.255,0.005,7.28971,21.1023
1.265,0.005,7.28765,21.1138
1.275,0.005,7.28572,21.1245
1.285,0.005,7.28394,21.1344
1.295,0.005,7.28228,21.1436
1.305,0.005,7.28075,21.1521
1.315,0.005,7.27934,21.1599
1.325,0.005,7.27805,21.1671
1.335,0.005,7.27688,21.1736
