x,y,height,momentum_x
0.005,0.005,7.7467,18.3794
0.015,0.005,7.7397,18.4238
0.025,0.005,7.73271,18.468
0.035,0.005,7.72573,18.5121
0.045,0.005,7.71876,18.556
0.055,0.005,7.71181,18.5997
0.065,0.005,7.70487,18.6433
0.075,0.005,7.69795,18.6867
0.085,0.005,7.69104,18.7299
0.095,0.005,7.68414,18.7729
0.105,0.005,7.67726,18.8158
0.115,0.005,7.6704,18.8585
0.125,0.005,7.66356,18.901
0.135,0.005,7.65673,18.9433
0.145,0.005,7.64992,18.9854
0.155,0.005,7.64312,19.0274
0.165,0.005,7.63635,19.0691
0.175,0.005,7.62959,19.1107
0.185,0.005,7.62286,19.152
0.195,0.005,7.61614,19.1932
0.205,0.005,7.60945,19.2341
0.215,0.005,7.60278,19.2748
0.225,0.005,7.59613,19.3154
0.235,0.005,7.5895,19.3557
0.245,0.005,7.5829,19.3958
0.255,0.005,7.57632,19.4356
0.265,0.005,7.56977,19.4752
0.275,0.005,7.56325,19.5146
0.285,0.005,7.55675,19.5538
0.295,0.005,7.55028,19.5927
0.305,0.005,7.54384,19.6314
0.315,0.005,7.53743,19.6698
0.325,0.005,7.53106,19.7079
0.335,0.005,7.52471,19.7458
0.345,0.005,7.5184,19.7834
0.355,0.005,7.51213,19.8208
0.365,0.005,7.50589,19.8578
0.375,0.005,7.49969,19.8946
0.385,0.005,7.49353,19.9311
0.395,0.005,7.48741,19.9672
0.405,0.005,7.48133,20.0031
0.415,0.005,7.4753,20.0386
0.425,0.005,7.46931,20.0737
0.435,0.005,7.46337,20.1086
0.445,0.005,7.45748,20.1431
0.455,0.005,7.45165,20.1772
0.465,0.005,7.44586,20.211
0.475,0.005,7.44013,20.2444
0.485,0.005,7.43446,20.2774
0.495,0.005,7.42884,20.31
0.505,0.005,7.42329,20.3422
0.515,0.005,7.41781,20.3739
0.525,0.005,7.41239,20.4052
0.535,0.005,7.40703,20.4361
0.545,0.005,7.40175,20.4665
0.555,0.005,7.39655,20.4965
0.565,0.005,7.39142,20.5259
0.575,0.005,7.38637,20.5549
0.585,0.005,7.3814,20.5833
0.595,0.005,7.37652,20.6113
0.605,0.005,7.37172,20.6386
0.615,0.005,7.36701,20.6655
0.625,0.005,7.3624,20.6917
0.635,0.005,7.35788,20.7174
0.645,0.005,7.35347,20.7425
0.655,0.005,7.34915,20.7669
0.665,0.005,7.34494,20.7908
0.675,0.005,7.34083,20.814
0.685,0.005,7.33684,20.8365
0.695,0.005,7.33296,20.8584
0.705,0.005,7.32919,20.8797
0.715,0.005,7.32554,20.9002
0.725,0.005,7.32201,20.9201
0.735,0.005,7.3186,20.9392
0.745,0.005,7.31531,20.9577
0.755,0.005,7.31214,20.9754
0.765,0.005,7.3091,20.9925
0.775,0.005,7.30619,21.0088
0.785,0.005,7.3034,21.0243
0.795,0.005,7.30075,21.0392
0.805,0.005,7.29821,21.0533
0.815,0.005,7.29581,21.0667
0.825,0.005,7.29353,21.0794
0.835,0.005,7.29138,21.0914
0.845,0.005,7.28935,21.1027
0.855,0.005,7.28744,21.1133
0.865,0.005,7.28565,21.1233
0.875,0.005,7.28398,21.1326
0.885,0.005,7.28242,21.1412
0.895,0.005,7.28097,21.1493
0.905,0.005,7.27963,21.1567
0.915,0.005,7.2784,21.1636
0.925,0.005,7.27726,21.1699
0.935,0.005,7.27622,21.1756
0.945,0.005,7.27527,21.1809
0.955,0.005,7.27441,21.1857
0.965,0.005,7.27363,21.19
0.975,0.005,7.27292,21.194
0.985,0.005,7.27229,21.1975
0.995,0.005,7.27173,21.2006
1.005,0.005,7.27122,21.2034
1.015,0.005,7.27078,21.2059
1.025,0.005,7.27039,21.208
1.035,0.005,7.27004,21.2099
1.045,0.005,7.26974,21.2116
1.055,0.005,7.26948,21.2131
1.065,0.005,7.26926,21.2143
1.075,0.005,7.26907,21.2154
1.085,0.005,7.26891,21.2162
1.095,0.005,7.26878,21.217
1.105,0.005,7.26867,21.2176
1.115,0.005,7.26857,21.2182
1.125,0.005,7.2685,21.2186
1.135,0.005,7.26844,21.2189
1.145,0.005,7.26839,21.2192
1.155,0.005,7.26836,21.2194
1.165,0.005,7.26833,21.2195
1.175,0.005,7.26832,21.2197
1.185,0.005,7.26831,21.2197
1.195,0.005,7.2683,21.2198
1.205,0.005,7.2683,21.2198
1.215,0.005,7.2683,21.2198
1.225,0.005,7.26831,21.2198
1.235,0.005,7.26832,21.2197
1.245,0.005,7.26833,21.2197
1.255,0.005,7.26834,21.2196
1.265,0.005,7.26835,21.2196
1.275,0.005,7.26836,21.2195
1.285,0.005,7.26837,21.2195
1.295,0.005,7.26838,21.2194
1.305,0.005,7.26839,21.2194
1.315,0.005,7.26841,21.2193
1.325,0.005,7.26842,21.2193
1.335,0.005,7.26843,21.2192
1.345,0.005,7.26844,21.2192
1.355,0.005,7.26845,21.2191
1.365,0.005,7.26846,21.2191
1.375,0.005,7.26848,21.219
1.385,0.005,7.26849,21.2189
1.395,0.005,7.2685,21.2189
1.405,0.005,7.26851,21.2188
1.415,0.005,7.26852,21.2188
1.425,0.005,7.26853,21.2187
1.435,0.005,7.26854,21.2187
1.445,0.005,7.26855,21.2187
1.455,0.005,7.26856,21.2186
1.465,0.005,7.26857,21.2186
1.475,0.005,7.26858,21.2186
1.485,0.005,7.26858,21.2186
1.495,0.005,7.26859,21.2185
1.505,0.005,7.26859,21.2185
1.515,0.005,7.2686,21.2185
1.525,0.005,7.2686,21.2185
1.535,0.005,7.2686,21.2185
1.545,0.005,7.26861,21.2185
1.555,0.005,7.26861,21.2185
1.565,0.005,7.26862,21.2185
1.575,0.005,7.26862,21.2184
1.585,0.005,7.26863,21.2184
1.595,0.005,7.26863,21.2184
1.605,0.005,7.26864,21.2184
1.615,0.005,7.26864,21.2184
1.625,0.005,7.26865,21.2184
1.635,0.005,7.26865,21.2184
1.645,0.005,7.26866,21.2183
1.655,0.005,7.26866,21.2183
1.665,0.005,7.26867,21.2183
1.675,0.005,7.26867,21.2183
1.685,0.005,7.26868,21.2183
1.695,0.005,7.26868,21.2183
1.705,0.005,7.26869,21.2183
1.715,0.005,7.26869,21.2183
1.725,0.005,7.2687,21.2182
1.735,0.005,7.2687,21.2182
1.745,0.005,7.2687,21.2182
1.755,0.005,7.26871,21.2182
1.765,0.005,7.26871,21.2182
1.775,0.005,7.26872,21.2182
1.785,0.005,7.26872,21.2182
1.795,0.005,7.26873,21.2181
1.805,0.005,7.26873,21.2181
1.815,0.005,7.26874,21.2181
1.825,0.005,7.26874,21.2181
1.835,0.005,7.26875,21.2181
1.845,0.005,7.26875,21.2181
1.855,0.005,7.26875,21.2181
1.865,0.005,7.26875,21.2181
1.875,0.005,7.26875,21.2181
1.885,0.005,7.26875,21.2181
1.895,0.005,7.26876,21.2181
1.905,0.005,7.26876,21.2181
1.915,0.005,7.26876,21.2181
1.925,0.005,7.26876,21.2181
1.935,0.005,7.26876,21.2181
1.945,0.005,7.26876,21.2181
1.955,0.005,7.26876,21.2181
1.965,0.005,7.26876,21.2181
1.975,0.005,7.26877,21.2181
1.985,0.005,7.26877,21.2181
1.995,0.005,7.26877,21.2182
2.005,0.005,7.26877,21.2182
2.015,0.005,7.26877,21.2182
2.025,0.005,7.26877,21.2182
2.035,0.005,7.26877,21.2182
2.045,0.005,7.26877,21.2182
2.055,0.005,7.26878,21.2182
2.065,0.005,7.26878,21.2182
2.075,0.005,7.26878,21.2182
2.085,0.005,7.26878,21.2182
2.095,0.005,7.26878,21.2182
2.105,0.005,7.26878,21.2182
2.115,0.005,7.26878,21.2182
2.125,0.005,7.26878,21.2182
2.135,0.005,7.26879,21.2182
2.145,0.005,7.26879,21.2182
2.155,0.005,7.26879,21.2182
2.165,0.005,7.26879,21.2182
2.175,0.005,7.26879,21.2182
2.185,0.005,7.26879,21.2182
2.195,0.005,7.26879,21.2182
2.205,0.005,7.26879,21.2182
2.215,0.005,7.2688,21.2182
2.225,0.005,7.2688,21.2182
2.235,0.005,7.2688,21.2182
2.245,0.005,7.2688,21.2182
2.255,0.005,7.2688,21.2182
2.265,0.005,7.2688,21.2182
2.275,0.005,7.2688,21.2182
2.285,0.005,7.2688,21.2182
2.295,0.005,7.2688,21.2182
2.305,0.005,7.26881,21.2182
2.315,0.005,7.26881,21.2182
2.325,0.005,7.26881,21.2182
2.335,0.005,7.26881,21.2183
2.345,0.005,7.26881,21.2183
2.355,0.005,7.26881,21.2183
