x,y,height,momentum_x
0.005,0.005,7.86384,17.6252
0.015,0.005,7.85644,17.6736
0.025,0.005,7.84905,17.7218
0.035,0.005,7.84167,17.7699
0.045,0.005,7.83429,17.8178
0.055,0.005,7.82693,17.8655
0.065,0.005,7.81958,17.9131
0.075,0.005,7.81224,17.9605
0.085,0.005,7.80491,18.0078
0.095,0.005,7.79759,18.0549
0.105,0.005,7.79028,18.1018
0.115,0.005,7.78298,18.1486
0.125,0.005,7.77569,18.1952
0.135,0.005,7.76842,18.2417
0.145,0.005,7.76116,18.288
0.155,0.005,7.75391,18.3341
0.165,0.005,7.74668,18.38
0.175,0.005,7.73945,18.4258
0.185,0.005,7.73225,18.4714
0.195,0.005,7.72505,18.5168
0.205,0.005,7.71787,18.5621
0.215,0.005,7.71071,18.6071
0.225,0.005,7.70356,18.652
0.235,0.005,7.69642,18.6967
0.245,0.005,7.6893,18.7412
0.255,0.005,7.6822,18.7855
0.265,0.005,7.67512,18.8296
0.275,0.005,7.66805,18.8736
0.285,0.005,7.661,18.9173
0.295,0.005,7.65397,18.9609
0.305,0.005,7.64696,19.0042
0.315,0.005,7.63997,19.0473
0.325,0.005,7.633,19.0902
0.335,0.005,7.62605,19.133
0.345,0.005,7.61912,19.1754
0.355,0.005,7.61221,19.2177
0.365,0.005,7.60533,19.2598
0.375,0.005,7.59847,19.3016
0.385,0.005,7.59164,19.3432
0.395,0.005,7.58483,19.3846
0.405,0.005,7.57805,19.4257
0.415,0.005,7.5713,19.4665
0.425,0.005,7.56457,19.5072
0.435,0.005,7.55787,19.5475
0.445,0.005,7.55121,19.5876
0.455,0.005,7.54457,19.6275
0.465,0.005,7.53797,19.6671
0.475,0.005,7.53141,19.7064
0.485,0.005,7.52488,19.7454
0.495,0.005,7.51838,19.7841
0.505,0.005,7.51192,19.8225
0.515,0.005,7.50551,19.8606
0.525,0.005,7.49913,19.8984
0.535,0.005,7.49279,19.9359
0.545,0.005,7.48651,19.9731
0.555,0.005,7.48026,20.0099
0.565,0.005,7.47407,20.0463
0.575,0.005,7.46792,20.0825
0.585,0.005,7.46182,20.1182
0.595,0.005,7.45578,20.1536
0.605,0.005,7.4498,20.1886
0.615,0.005,7.44387,20.2231
0.625,0.005,7.438,20.2573
0.635,0.005,7.43219,20.2911
0.645,0.005,7.42645,20.3244
0.655,0.005,7.42077,20.3573
0.665,0.005,7.41517,20.3897
0.675,0.005,7.40964,20.4216
0.685,0.005,7.40418,20.4531
0.695,0.005,7.3988,20.4841
0.705,0.005,7.3935,20.5145
0.715,0.005,7.38828,20.5445
0.725,0.005,7.38315,20.5739
0.735,0.005,7.37811,20.6027
0.745,0.005,7.37316,20.631
0.755,0.005,7.3683,20.6586
0.765,0.005,7.36354,20.6857
0.775,0.005,7.35889,20.7122
0.785,0.005,7.35434,20.7381
0.795,0.005,7.34989,20.7633
0.805,0.005,7.34556,20.7878
0.815,0.005,7.34134,20.8117
0.825,0.005,7.33723,20.8349
0.835,0.005,7.33324,20.8574
0.845,0.005,7.32937,20.8792
0.855,0.005,7.32563,20.9002
0.865,0.005,7.32201,20.9206
0.875,0.005,7.31852,20.9402
0.885,0.005,7.31516,20.9591
0.895,0.005,7.31193,20.9772
0.905,0.005,7.30883,20.9945
0.915,0.005,7.30586,21.0111
0.925,0.005,7.30303,21.027
0.935,0.005,7.30033,21.042
0.945,0.005,7.29776,21.0564
0.955,0.005,7.29533,21.0699
0.965,0.005,7.29302,21.0828
0.975,0.005,7.29085,21.0949
0.985,0.005,7.28881,21.1062
0.995,0.005,7.2869,21.1169
1.005,0.005,7.28511,21.1268
1.015,0.005,7.28344,21.1361
1.025,0.005,7.28189,21.1447
1.035,0.005,7.28045,21.1527
1.045,0.005,7.27912,21.1601
1.055,0.005,7.27791,21.1668
1.065,0.005,7.27679,21.173
1.075,0.005,7.27577,21.1787
1.085,0.005,7.27484,21.1838
1.095,0.005,7.274,21.1885
1.105,0.005,7.27325,21.1927
1.115,0.005,7.27257,21.1964
1.125,0.005,7.27196,21.1998
1.135,0.005,7.27143,21.2028
1.145,0.005,7.27095,21.2054
1.155,0.005,7.27053,21.2078
1.165,0.005,7.27016,21.2098
1.175,0.005,7.26984,21.2116
1.185,0.005,7.26957,21.2131
1.195,0.005,7.26933,21.2144
1.205,0.005,7.26913,21.2156
1.215,0.005,7.26896,21.2165
1.225,0.005,7.26881,21.2173
1.235,0.005,7.26869,21.218
1.245,0.005,7.2686,21.2185
1.255,0.005,7.26852,21.219
1.265,0.005,7.26846,21.2193
1.275,0.005,7.26841,21.2196
1.285,0.005,7.26837,21.2198
1.295,0.005,7.26835,21.22
1.305,0.005,7.26833,21.2201
1.315,0.005,7.26832,21.2202
1.325,0.005,7.26831,21.2202
1.335,0.005,7.26831,21.2202
1.345,0.005,7.26832,21.2202
1.355,0.005,7.26832,21.2202
1.365,0.005,7.26833,21.2202
1.375,0.005,7.26834,21.2201
1.385,0.005,7.26836,21.2201
1.395,0.005,7.26837,21.22
1.405,0.005,7.26838,21.22
1.415,0.005,7.26839,21.2199
1.425,0.005,7.26841,21.2199
1.435,0.005,7.26842,21.2198
1.445,0.005,7.26843,21.2197
1.455,0.005,7.26844,21.2197
1.465,0.005,7.26846,21.2196
1.475,0.005,7.26847,21.2196
1.485,0.005,7.26848,21.2195
1.495,0.005,7.26849,21.2195
1.505,0.005,7.2685,21.2194
1.515,0.005,7.26852,21.2194
1.525,0.005,7.26853,21.2193
1.535,0.005,7.26854,21.2193
1.545,0.005,7.26855,21.2192
1.555,0.005,7.26856,21.2192
1.565,0.005,7.26857,21.2191
1.575,0.005,7.26858,21.2191
1.585,0.005,7.26859,21.219
1.595,0.005,7.2686,21.219
1.605,0.005,7.26861,21.219
1.615,0.005,7.26862,21.2189
1.625,0.005,7.26862,21.2189
1.635,0.005,7.26863,21.2189
1.645,0.005,7.26863,21.2189
1.655,0.005,7.26864,21.2189
1.665,0.005,7.26864,21.2188
1.675,0.005,7.26865,21.2188
1.685,0.005,7.26865,21.2188
1.695,0.005,7.26866,21.2188
1.705,0.005,7.26866,21.2188
1.715,0.005,7.26867,21.2188
1.725,0.005,7.26867,21.2188
1.735,0.005,7.26868,21.2187
1.745,0.005,7.26868,21.2187
1.755,0.005,7.26869,21.2187
1.765,0.005,7.26869,21.2187
1.775,0.005,7.26869,21.2187
1.785,0.005,7.2687,21.2187
1.795,0.005,7.2687,21.2186
1.805,0.005,7.26871,21.2186
1.815,0.005,7.26871,21.2186
1.825,0.005,7.26872,21.2186
1.835,0.005,7.26872,21.2186
1.845,0.005,7.26873,21.2186
1.855,0.005,7.26873,21.2185
1.865,0.005,7.26874,21.2185
1.875,0.005,7.26874,21.2185
1.885,0.005,7.26875,21.2185
1.895,0.005,7.26875,21.2185
1.905,0.005,7.26875,21.2185
1.915,0.005,7.26876,21.2185
1.925,0.005,7.26876,21.2184
1.935,0.005,7.26877,21.2184
1.945,0.005,7.26877,21.2184
1.955,0.005,7.26878,21.2184
1.965,0.005,7.26878,21.2184
1.975,0.005,7.26879,21.2184
1.985,0.005,7.26879,21.2184
1.995,0.005,7.26879,21.2184
2.005,0.005,7.26879,21.2184
2.015,0.005,7.26879,21.2184
2.025,0.005,7.26879,21.2184
2.035,0.005,7.26879,21.2184
2.045,0.005,7.26879,21.2184
2.055,0.005,7.2688,21.2184
2.065,0.005,7.2688,21.2184
2.075,0.005,7.2688,21.2184
2.085,0.005,7.2688,21.2184
2.095,0.005,7.2688,21.2184
2.105,0.005,7.2688,21.2184
2.115,0.005,7.2688,21.2184
2.125,0.005,7.2688,21.2184
2.135,0.005,7.2688,21.2184
2.145,0.005,7.26881,21.2184
2.155,0.005,7.26881,21.2184
2.165,0.005,7.26881,21.2184
2.175,0.005,7.26881,21.2184
2.185,0.005,7.26881,21.2185
2.195,0.005,7.26881,21.2185
2.205,0.005,7.26881,21.2185
2.215,0.005,7.26881,21.2185
2.225,0.005,7.26882,21.2185
2.235,0.005,7.26882,21.2185
2.245,0.005,7.26882,21.2185
2.255,0.005,7.26882,21.2185
2.265,0.005,7.26882,21.2185
2.275,0.005,7.26882,21.2185
2.285,0.005,7.26882,21.2185
2.295,0.005,7.26882,21.2185
2.305,0.005,7.26882,21.2185
2.315,0.005,7.26883,21.2185
2.325,0.005,7.26883,21.2185
2.335,0.005,7.26883,21.2185
2.345,0.005,7.26883,21.2185
2.355,0.005,7.26883,21.2185
2.365,0.005,7.26883,21.2185
2.375,0.005,7.26883,21.2185
2.385,0.005,7.26883,21.2185
2.395,0.005,7.26883,21.2185
2.405,0.005,7.26884,21.2185
2.415,0.005,7.26884,21.2185
2.425,0.005,7.26884,21.2185
2.435,0.005,7.26884,21.2185
2.445,0.005,7.26884,21.2185
2.455,0.005,7.26884,21.2185
2.465,0.005,7.26884,21.2185
2.475,0.005,7.26884,21.2185
2.485,0.005,7.26885,21.2185
2.495,0.005,7.26885,21.2185
2.505,0.005,7.26885,21.2185
2.515,0.005,7.26885,21.2186
2.525,0.005,7.26885,21.2186
2.535,0.005,7.26885,21.2186
2.545,0.005,7.26885,21.2186
2.555,0.005,7.26885,21.2186
2.565,0.005,7.26885,21.2186
2.575,0.005,7.26886,21.2186
2.585,0.005,7.26886,21.2186
2.595,0.005,7.26886,21.2186
2.605,0.005,7.26886,21.2186
2.615,0.005,7.26886,21.2186
2.625,0.005,7.26886,21.2186
2.635,0.005,7.26886,21.2186
2.645,0.005,7.26886,21.2186
2.655,0.005,7.26887,21.2186
2.665,0.005,7.26887,21.2186
2.675,0.005,7.26887,21.2186
2.685,0.005,7.26887,21.2186
2.695,0.005,7.26887,21.2186
2.705,0.005,7.26887,21.2186
2.715,0.005,7.26887,21.2186
2.725,0.005,7.26887,21.2186
2.735,0.005,7.26887,21.2186
